"","Sources       ","Articles"
"1","IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY                                                       ","90"
"2","IEEE ACCESS                                                                                                          ","39"
"3","SENSORS                                                                                                              ","32"
"4","IEEE TRANSACTIONS ON IMAGE PROCESSING                                                                                ","17"
"5","IEEE TRANSACTIONS ON MULTIMEDIA                                                                                      ","16"
"6","SIGNAL IMAGE AND VIDEO PROCESSING                                                                                    ","16"
"7","APPLIED SCIENCES-BASEL                                                                                               ","14"
"8","REMOTE SENSING                                                                                                       ","14"
"9","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES                                                                          ","13"
"10","MULTIMEDIA TOOLS AND APPLICATIONS                                                                                    ","13"
"11","IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE                                                       ","11"
"12","IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS                                                              ","10"
"13","2011 IEEE INTERNATIONAL CONFERENCE ON COMPUTER VISION WORKSHOPS (ICCV WORKSHOPS)                                     "," 9"
"14","ACM TRANSACTIONS ON GRAPHICS                                                                                         "," 9"
"15","ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING                                                                   "," 9"
"16","2021 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP)                                                        "," 8"
"17","2021 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA 2021)                                            "," 8"
"18","2021 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2021)                                                "," 8"
"19","2023 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR)                                           "," 8"
"20","COMPUTER GRAPHICS FORUM                                                                                              "," 8"
"21","IEEE ROBOTICS AND AUTOMATION LETTERS                                                                                 "," 8"
"22","VISUAL COMPUTER                                                                                                      "," 8"
"23","2021 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION CVPR 2021                                        "," 7"
"24","2022 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2022)                                      "," 7"
"25","2023 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION CVPR                                             "," 7"
"26","ATMOSPHERIC RESEARCH                                                                                                 "," 7"
"27","NEUROCOMPUTING                                                                                                       "," 7"
"28","TRANSPORTATION RESEARCH RECORD                                                                                       "," 7"
"29","2020 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS)                                      "," 6"
"30","2022 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA 2022)                                            "," 6"
"31","EURASIP JOURNAL ON IMAGE AND VIDEO PROCESSING                                                                        "," 6"
"32","INTERNATIONAL JOURNAL OF COMPUTER ASSISTED RADIOLOGY AND SURGERY                                                     "," 6"
"33","JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY                                                                        "," 6"
"34","2011 IEEE INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV)                                                         "," 5"
"35","2018 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR)                                           "," 5"
"36","2019 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS)                                      "," 5"
"37","AUTOMATION IN CONSTRUCTION                                                                                           "," 5"
"38","ELECTRONICS                                                                                                          "," 5"
"39","IEEE COMMUNICATIONS MAGAZINE                                                                                         "," 5"
"40","IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING                                                                   "," 5"
"41","IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS                                                             "," 5"
"42","ISPRS GEOSPATIAL WEEK 2015                                                                                           "," 5"
"43","JOURNAL OF SIGNAL PROCESSING SYSTEMS FOR SIGNAL IMAGE AND VIDEO TECHNOLOGY                                           "," 5"
"44","OPTICS EXPRESS                                                                                                       "," 5"
"45","PROCEEDINGS OF THE 2023 PROCEEDINGS OF THE 14TH ACM MULTIMEDIA SYSTEMS CONFERENCE MMSYS 2023                         "," 5"
"46","2020 IEEE 22ND INTERNATIONAL WORKSHOP ON MULTIMEDIA SIGNAL PROCESSING (MMSP)                                         "," 4"
"47","2021 IEEE INTERNATIONAL CONFERENCE ON BIG DATA (BIG DATA)                                                            "," 4"
"48","ADVANCED ENGINEERING INFORMATICS                                                                                     "," 4"
"49","APPLIED OPTICS                                                                                                       "," 4"
"50","APSIPA TRANSACTIONS ON SIGNAL AND INFORMATION PROCESSING                                                             "," 4"
"51","COMPUTER ANIMATION AND VIRTUAL WORLDS                                                                                "," 4"
"52","COMPUTER VISION AND IMAGE UNDERSTANDING                                                                              "," 4"
"53","COMPUTERS & GRAPHICS-UK                                                                                              "," 4"
"54","EXPERT SYSTEMS WITH APPLICATIONS                                                                                     "," 4"
"55","IEEE INTERNATIONAL CONFERENCE ON COMMUNICATIONS (ICC 2021)                                                           "," 4"
"56","IEEE SENSORS JOURNAL                                                                                                 "," 4"
"57","IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT                                                                 "," 4"
"58","INTERNATIONAL JOURNAL OF COMPUTER VISION                                                                             "," 4"
"59","JOURNAL OF COMPUTING IN CIVIL ENGINEERING                                                                            "," 4"
"60","MM '20: PROCEEDINGS OF THE 28TH ACM INTERNATIONAL CONFERENCE ON MULTIMEDIA                                           "," 4"
"61","MMSYS '21: PROCEEDINGS OF THE 2021 MULTIMEDIA SYSTEMS CONFERENCE                                                     "," 4"
"62","SYMMETRY-BASEL                                                                                                       "," 4"
"63","WIRELESS COMMUNICATIONS & MOBILE COMPUTING                                                                           "," 4"
"64","12TH INTERNATIONAL CONFERENCE ON ICT CONVERGENCE (ICTC 2021): BEYOND THE PANDEMIC ERA WITH ICT CONVERGENCE INNOVATION"," 3"
"65","2009 3DTV-CONFERENCE: THE TRUE VISION - CAPTURE TRANSMISSION AND DISPLAY OF 3D VIDEO                                 "," 3"
"66","2010 3DTV-CONFERENCE: THE TRUE VISION - CAPTURE TRANSMISSION AND DISPLAY OF 3D VIDEO (3DTV-CON 2010)                 "," 3"
"67","2015 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP)                                                        "," 3"
"68","2016 IEEE WINTER CONFERENCE ON APPLICATIONS OF COMPUTER VISION (WACV 2016)                                           "," 3"
"69","2019 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP)                                                        "," 3"
"70","2020 IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP)                                                        "," 3"
"71","2022 18TH IEEE INTERNATIONAL CONFERENCE ON ADVANCED VIDEO AND SIGNAL BASED SURVEILLANCE (AVSS 2022)                  "," 3"
"72","2022 ACM/IEEE 44TH INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING: COMPANION PROCEEDINGS (ICSE-COMPANION 2022)     "," 3"
"73","2022 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS)                                      "," 3"
"74","2023 15TH INTERNATIONAL CONFERENCE ON QUALITY OF MULTIMEDIA EXPERIENCE QOMEX                                         "," 3"
"75","2023 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA 2023)                                            "," 3"
"76","2023 IEEE/CVF WINTER CONFERENCE ON APPLICATIONS OF COMPUTER VISION (WACV)                                            "," 3"
"77","ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS                                             "," 3"
"78","ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 34 (NEURIPS 2021)                                                  "," 3"
"79","APPLIED INTELLIGENCE                                                                                                 "," 3"
"80","CHINA COMMUNICATIONS                                                                                                 "," 3"
"81","COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING                                                                  "," 3"
"82","CVPR: 2009 IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION VOLS 1-4                                       "," 3"
"83","ELECTRIC POWER SYSTEMS RESEARCH                                                                                      "," 3"
"84","GEOPHYSICAL RESEARCH LETTERS                                                                                         "," 3"
"85","IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING                                     "," 3"
"86","IEEE JOURNAL ON EMERGING AND SELECTED TOPICS IN CIRCUITS AND SYSTEMS                                                 "," 3"
"87","IEEE SIGNAL PROCESSING LETTERS                                                                                       "," 3"
"88","IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS                                                            "," 3"
"89","INTELLIGENT ROBOTS AND COMPUTER VISION XXIX: ALGORITHMS AND TECHNIQUES                                               "," 3"
"90","INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS                                                  "," 3"
"91","INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS                                                                    "," 3"
"92","INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS                                                                 "," 3"
"93","INTERNATIONAL JOURNAL OF REMOTE SENSING                                                                              "," 3"
"94","ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION                                                                       "," 3"
"95","JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS                                                                 "," 3"
"96","JOURNAL OF ELECTRONIC IMAGING                                                                                        "," 3"
"97","JOURNAL OF GEOPHYSICAL RESEARCH-SPACE PHYSICS                                                                        "," 3"
"98","MATHEMATICAL PROBLEMS IN ENGINEERING                                                                                 "," 3"
"99","MATHEMATICS                                                                                                          "," 3"
"100","NEURAL PROCESSING LETTERS                                                                                            "," 3"
